,Unnamed: 0,Unnamed: 0.1,datetime, _conds, _dewptm, _fog, _hail, _hum, _pressurem, _rain, _snow, _tempm, _thunder, _tornado, _vism, _wspdm,year,month,week,day,hour,night,morning,noon,evening,season_winter,season_spring,season_summer,season_monsoon,season_autumn,hour_cos,hour_sin,month_cos,month_sin,week_cos,week_sin, _dewptm_bars, _hum_bars, _pressurem_bars, _vism_bars, _wspdm_bars,Temp,sequence
10,450,8974,2006-07-11,Light Rain,0.7926829268292683,0.0,0.0,0.859375,0.16044776119403004,1.0,0.0,28.5,0.0,0.0,0.03333333333333333,0.02567567567567568,2006.0,7.0,28.0,11.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.07322330470336302,0.32322330470336325,0.06698729810778059,0.2500000000000001,0.0070127350302517395,0.4115160034978938,19,19,1,8,1,7.0,2
11,451,8978,2006-07-12,Haze,0.8048780487804879,0.0,0.0,0.8645833333333334,0.15671641791044788,0.0,0.0,29.0,0.0,0.0,0.016666666666666666,0.15135135135135136,2006.0,7.0,28.0,12.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5000000000000001,0.06698729810778059,0.2500000000000001,0.0070127350302517395,0.4115160034978938,19,19,0,3,6,7.0,2
12,452,8982,2006-07-13,Haze,0.8048780487804879,0.0,0.0,0.75,0.15671641791044788,0.0,0.0,31.0,0.0,0.0,0.016666666666666666,0.0,2006.0,7.0,28.0,13.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.14644660940672605,0.14644660940672646,0.06698729810778059,0.2500000000000001,0.0070127350302517395,0.4115160034978938,19,16,0,3,1,8.0,2
13,453,8986,2006-07-14,Haze,0.7926829268292683,0.0,0.0,0.5729166666666667,0.14552238805970186,0.0,0.0,33.5,0.0,0.0,0.016666666666666666,0.05135135135135136,2006.0,7.0,28.0,14.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.07322330470336302,0.32322330470336325,0.06698729810778059,0.2500000000000001,0.0070127350302517395,0.4115160034978938,19,12,0,3,2,8.0,2
14,454,8990,2006-07-15,Haze,0.7560975609756098,0.0,0.0,0.4479166666666666,0.14925373134328354,0.0,0.0,35.0,0.0,0.0,0.03333333333333333,0.1,2006.0,7.0,28.0,15.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5000000000000001,0.06698729810778059,0.2500000000000001,0.0070127350302517395,0.4115160034978938,19,9,0,8,4,9.0,2
15,455,8994,2006-07-16,Haze,0.7439024390243902,0.0,0.0,0.4739583333333333,0.1641791044776122,0.0,0.0,34.0,0.0,0.0,0.03333333333333333,0.12567567567567567,2006.0,7.0,28.0,16.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.07322330470336302,0.32322330470336325,0.06698729810778059,0.2500000000000001,0.0070127350302517395,0.4115160034978938,18,9,1,8,5,9.0,2
14,454,8990,2006-07-15,Haze,0.7560975609756098,0.0,0.0,0.4479166666666666,0.14925373134328354,0.0,0.0,35.0,0.0,0.0,0.03333333333333333,0.1,2006.0,7.0,28.0,15.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5000000000000001,0.06698729810778059,0.2500000000000001,0.0070127350302517395,0.4115160034978938,19,9,0,8,4,9.0,3
15,455,8994,2006-07-16,Haze,0.7439024390243902,0.0,0.0,0.4739583333333333,0.1641791044776122,0.0,0.0,34.0,0.0,0.0,0.03333333333333333,0.12567567567567567,2006.0,7.0,28.0,16.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.07322330470336302,0.32322330470336325,0.06698729810778059,0.2500000000000001,0.0070127350302517395,0.4115160034978938,18,9,1,8,5,9.0,3
16,456,8998,2006-07-17,Haze,0.7926829268292683,0.0,0.0,0.6041666666666667,0.15298507462686572,0.0,0.0,33.5,0.0,0.0,0.03333333333333333,0.05,2006.0,7.0,29.0,17.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.07322330470336302,0.32322330470336325,0.06698729810778059,0.2500000000000001,0.02093976166303524,0.3539074561699246,19,12,0,8,2,8.0,3
17,457,9002,2006-07-18,Haze,0.8170731707317074,0.0,0.0,0.75,0.1716417910447765,0.0,0.0,31.0,0.0,0.0,0.03333333333333333,0.1,2006.0,7.0,29.0,18.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.07322330470336302,0.32322330470336325,0.06698729810778059,0.2500000000000001,0.02093976166303524,0.3539074561699246,19,16,2,8,4,8.0,3
