,Unnamed: 0,datetime, _conds, _dewptm, _fog, _hail, _hum, _pressurem, _rain, _snow, _tempm, _thunder, _tornado, _vism, _wspdm,year,month,week,day,hour,night,morning,noon,evening,season_winter,season_spring,season_summer,season_monsoon,season_autumn,hour_cos,hour_sin,month_cos,month_sin,week_cos,week_sin, _dewptm_bars, _hum_bars, _pressurem_bars, _vism_bars, _wspdm_bars,Temp,sequence
12,1359,2001-04-13,Haze,0.4878048780487805,0.0,0.0,0.4635416666666666,0.2649253731343286,0.0,0.0,25.5,0.0,0.0,0.05,0.3256756756756757,2001.0,4.0,15.0,13.0,17.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.43970476127563,0.0420121924816233,0.2500000000000001,0.9330127018922194,0.3964807197586972,0.9894932136984012,9,9,12,13,12,6.0,1
13,1363,2001-04-14,Haze,0.5121951219512195,0.0,0.0,0.4739583333333334,0.2873134328358216,0.0,0.0,26.5,0.0,0.0,0.04166666666666666,0.17567567567567569,2001.0,4.0,15.0,14.0,16.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.3102952387243697,0.04201219248162333,0.2500000000000001,0.9330127018922194,0.3964807197586972,0.9894932136984012,10,9,14,11,7,6.0,1
14,1367,2001-04-15,Haze,0.5609756097560976,0.0,0.0,0.5677083333333333,0.2873134328358216,0.0,0.0,25.75,0.0,0.0,0.04166666666666666,0.13783783783783787,2001.0,4.0,15.0,15.0,17.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.43749999999999983,0.025265367954678108,0.2500000000000001,0.9330127018922194,0.3964807197586972,0.9894932136984012,12,12,14,11,5,6.0,1
13,1363,2001-04-14,Haze,0.5121951219512195,0.0,0.0,0.4739583333333334,0.2873134328358216,0.0,0.0,26.5,0.0,0.0,0.04166666666666666,0.17567567567567569,2001.0,4.0,15.0,14.0,16.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.3102952387243697,0.04201219248162333,0.2500000000000001,0.9330127018922194,0.3964807197586972,0.9894932136984012,10,9,14,11,7,6.0,2
14,1367,2001-04-15,Haze,0.5609756097560976,0.0,0.0,0.5677083333333333,0.2873134328358216,0.0,0.0,25.75,0.0,0.0,0.04166666666666666,0.13783783783783787,2001.0,4.0,15.0,15.0,17.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.43749999999999983,0.025265367954678108,0.2500000000000001,0.9330127018922194,0.3964807197586972,0.9894932136984012,12,12,14,11,5,6.0,2
15,1371,2001-04-16,Haze,0.5731707317073171,0.0,0.0,0.7708333333333334,0.2723880597014929,0.0,0.0,21.5,0.0,0.0,0.02666666666666666,0.35,2001.0,4.0,16.0,16.0,18.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.56470476127563,0.008518543427732894,0.2500000000000001,0.9330127018922194,0.3392848765765307,0.9738712838945128,12,16,13,6,13,4.0,2
16,1375,2001-04-17,Clear,0.5853658536585367,0.0,0.0,0.875,0.2611940298507465,0.0,0.0,20.0,0.0,0.0,0.04166666666666666,0.2,2001.0,4.0,16.0,17.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6294095225512601,0.017037086855465792,0.2500000000000001,0.9330127018922194,0.3392848765765307,0.9738712838945128,13,19,12,11,7,4.0,2
17,1379,2001-04-18,Haze,0.5731707317073171,0.0,0.0,0.7213541666666667,0.2667910447761197,0.0,0.0,22.5,0.0,0.0,0.035,0.13783783783783785,2001.0,4.0,16.0,18.0,17.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.43749999999999983,0.025265367954678108,0.2500000000000001,0.9330127018922194,0.3392848765765307,0.9738712838945128,12,15,12,9,5,5.0,2
18,1383,2001-04-19,Haze,0.6341463414634146,0.0,0.0,0.875,0.2611940298507465,0.0,0.0,22.0,0.0,0.0,0.04166666666666666,0.0,2001.0,4.0,16.0,19.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6294095225512601,0.017037086855465792,0.2500000000000001,0.9330127018922194,0.3392848765765307,0.9738712838945128,15,19,12,11,1,5.0,2
19,1387,2001-04-20,Haze,0.4695121951219513,0.0,0.0,0.4791666666666666,0.2593283582089554,0.0,0.0,24.25,0.0,0.0,0.04375,0.41283783783783773,2001.0,4.0,16.0,20.0,17.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.43749999999999983,0.025265367954678108,0.2500000000000001,0.9330127018922194,0.3392848765765307,0.9738712838945128,9,9,11,11,15,5.0,2
