,Unnamed: 0,datetime,year,month,week,day,night,morning,noon,evening,season_summer,season_winter,season_spring,season_monsoon,season_autumn,month_cos,month_sin,week_cos,week_sin, _dewptm_bars, _fog, _hail, _hum_bars, _pressurem_bars, _rain, _snow, _thunder, _tornado, _vism_bars, _wspdm_bars,Temp,sequence
18,18,2001-05-18,2001.0,5.0,20.0,18.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.1404916078341044,0.8484285316218811,13.0,0.0,0.0,12.0,8.0,0.0,0.0,0.0,0.0,9.0,6.0,6.0,2
19,19,2001-05-19,2001.0,5.0,20.0,19.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.1404916078341044,0.8484285316218811,19.0,0.0,0.0,18.0,7.0,0.0,0.0,0.0,0.0,13.0,5.0,7.0,2
20,20,2001-05-20,2001.0,5.0,20.0,20.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.1404916078341044,0.8484285316218811,16.0,0.0,0.0,13.0,6.0,0.0,0.0,0.0,0.0,12.0,4.0,7.0,2
19,19,2001-05-19,2001.0,5.0,20.0,19.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.1404916078341044,0.8484285316218811,19.0,0.0,0.0,18.0,7.0,0.0,0.0,0.0,0.0,13.0,5.0,7.0,3
20,20,2001-05-20,2001.0,5.0,20.0,20.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.1404916078341044,0.8484285316218811,16.0,0.0,0.0,13.0,6.0,0.0,0.0,0.0,0.0,12.0,4.0,7.0,3
21,21,2001-05-21,2001.0,5.0,21.0,21.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.10178402520066376,0.8035333736853816,16.0,0.0,0.0,17.0,7.0,0.0,0.0,0.0,0.0,16.0,8.0,6.0,3
22,22,2001-05-22,2001.0,5.0,21.0,22.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.10178402520066376,0.8035333736853816,16.0,0.0,0.0,12.0,7.0,0.0,0.0,0.0,0.0,12.0,7.0,7.0,3
23,23,2001-05-23,2001.0,5.0,21.0,23.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.10178402520066376,0.8035333736853816,17.0,0.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0,9.0,7.0,8.0,3
24,24,2001-05-24,2001.0,5.0,21.0,24.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.10178402520066376,0.8035333736853816,13.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,10.0,7.0,9.0,3
25,25,2001-05-25,2001.0,5.0,21.0,25.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.10178402520066376,0.8035333736853816,12.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,7.0,8.0,10.0,3
26,26,2001-05-26,2001.0,5.0,21.0,26.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.10178402520066376,0.8035333736853816,8.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,11.0,11.0,8.0,3
