,datetime, _conds, _dewptm, _fog, _hail, _hum, _pressurem, _rain, _snow, _tempm, _thunder, _tornado, _vism, _wspdm,year,month,week,day,hour,night,morning,noon,evening,Temp
54,2000-01-22,Haze,0.3902439024390244,0.0,0.0,0.5937500000000001,0.28731343283582156,0.0,0.0,17.5,0.0,0.0,0.04416666666666666,0.35,2000.0,1.0,3.0,22.0,10.5,0.0,0.0,1.0,0.0,3.0
58,2000-01-23,Smoke,0.40243902439024387,0.0,0.0,0.6111111111111112,0.30721393034825883,0.0,0.0,18.166666666666668,0.0,0.0,0.04069444444444444,0.10900900900900902,2000.0,1.0,3.0,23.0,12.5,0.0,0.0,1.0,0.0,3.0
59,2000-01-24,Clear,0.36585365853658536,0.0,0.0,0.42187500000000006,0.31343283582089576,0.0,0.0,21.5,0.0,0.0,0.1,0.35,2000.0,1.0,4.0,24.0,10.5,0.0,0.0,1.0,0.0,4.0
61,2000-01-25,Mostly Cloudy,0.4390243902439025,0.0,0.0,0.8750000000000002,0.3208955223880601,0.0,0.0,14.0,0.0,0.0,0.041666666666666664,0.5,2000.0,1.0,4.0,25.0,14.0,0.0,0.0,1.0,0.0,2.0
65,2000-01-26,Mostly Cloudy,0.48780487804878053,0.0,0.0,0.8750000000000002,0.3358208955223887,0.0,0.0,16.0,0.0,0.0,0.05,0.0,2000.0,1.0,4.0,26.0,14.0,0.0,0.0,1.0,0.0,3.0
68,2000-01-27,Clear,0.4390243902439025,0.0,0.0,0.8750000000000002,0.3358208955223887,0.0,0.0,14.0,0.0,0.0,0.03,0.3,2000.0,1.0,4.0,27.0,15.0,0.0,0.0,1.0,0.0,2.0
71,2000-01-28,Clear,0.36585365853658536,0.0,0.0,0.484375,0.3208955223880601,0.0,0.0,19.5,0.0,0.0,0.1,0.42567567567567566,2000.0,1.0,4.0,28.0,10.5,0.0,0.0,1.0,0.0,4.0
73,2000-01-29,Haze,0.3211382113821138,0.0,0.0,0.48090277777777785,0.310945273631841,0.0,0.0,18.166666666666668,0.0,0.0,0.07222222222222223,0.4423423423423423,2000.0,1.0,4.0,29.0,12.5,0.0,0.0,1.0,0.0,3.0
74,2000-01-30,Clear,0.3292682926829269,0.0,0.0,0.35937500000000006,0.30597014925373145,0.0,0.0,22.5,0.0,0.0,0.10833333333333334,0.4,2000.0,1.0,4.0,30.0,10.5,0.0,0.0,1.0,0.0,5.0
76,2000-01-31,Smoke,0.4536585365853659,0.0,0.0,0.6708333333333334,0.2716417910447765,0.0,0.0,18.6,0.0,0.0,0.040333333333333346,0.6405405405405407,2000.0,1.0,5.0,31.0,13.0,0.0,0.0,1.0,0.0,3.0
