datetime, _conds, _dewptm, _fog, _hail, _hum, _pressurem, _rain, _snow, _tempm, _thunder, _tornado, _vism, _wspdm,year,month,week,day,hour,night,morning,noon,evening, _dewptm_bars, _hum_bars, _pressurem_bars, _vism_bars, _wspdm_bars,Temp
2002-12-04,Smoke,0.3109756097560976,0.0,0.0,0.5651041666666667,0.31343283582089576,0.0,0.0,15.0,0.0,0.0,0.017916666666666668,0.025,2002.0,12.0,49.0,4.0,17.5,0.0,0.0,0.0,1.0,3,12,17,3,1,2.0
2002-12-05,Smoke,0.30487804878048785,0.0,0.0,0.5234375,0.31343283582089576,0.0,0.0,15.75,0.0,0.0,0.018333333333333333,0.07500000000000001,2002.0,12.0,49.0,5.0,17.5,0.0,0.0,0.0,1.0,3,11,17,4,3,2.0
2002-12-06,Smoke,0.32317073170731714,0.0,0.0,0.5729166666666666,0.319029850746269,0.0,0.0,15.25,0.0,0.0,0.02125,0.0,2002.0,12.0,49.0,6.0,17.5,0.0,0.0,0.0,1.0,4,12,18,4,1,2.0
2002-12-07,Smoke,0.2601626016260163,0.0,0.0,0.37499999999999994,0.3208955223880601,0.0,0.0,18.666666666666668,0.0,0.0,0.023888888888888887,0.050450450450450456,2002.0,12.0,49.0,7.0,17.0,0.0,0.0,0.0,1.0,1,7,18,5,2,3.0
2002-12-08,Smoke,0.34146341463414637,0.0,0.0,0.5598958333333333,0.3283582089552244,0.0,0.0,16.5,0.0,0.0,0.013333333333333334,0.03783783783783784,2002.0,12.0,49.0,8.0,17.5,0.0,0.0,0.0,1.0,4,11,19,2,2,3.0
2002-12-09,Smoke,0.2621951219512195,0.0,0.0,0.6328125,0.32462686567164223,0.0,0.0,11.25,0.0,0.0,0.0225,0.025,2002.0,12.0,50.0,9.0,17.5,0.0,0.0,0.0,1.0,1,13,18,5,1,1.0
2002-12-10,Smoke,0.23170731707317077,0.0,0.0,0.5338541666666667,0.3208955223880601,0.0,0.0,12.25,0.0,0.0,0.0175,0.05,2002.0,12.0,50.0,10.0,17.5,0.0,0.0,0.0,1.0,0,11,18,3,2,1.0
2002-12-11,Smoke,0.2621951219512195,0.0,0.0,0.46354166666666663,0.33955223880597085,0.0,0.0,15.75,0.0,0.0,0.01375,0.025,2002.0,12.0,50.0,11.0,17.5,0.0,0.0,0.0,1.0,1,9,19,2,1,2.0
2002-12-12,Smoke,0.34756097560975613,0.0,0.0,0.6510416666666666,0.35074626865671643,0.0,0.0,14.5,0.0,0.0,0.00986111111111111,0.0,2002.0,12.0,50.0,12.0,17.5,0.0,0.0,0.0,1.0,4,14,19,1,1,2.0
2002-12-13,Smoke,0.32317073170731714,0.0,0.0,0.625,0.34514925373134364,0.0,0.0,14.0,0.0,0.0,0.017916666666666668,0.05,2002.0,12.0,50.0,13.0,17.5,0.0,0.0,0.0,1.0,4,13,19,3,2,2.0
2002-12-14,Smoke,0.2987804878048781,0.0,0.0,0.5260416666666666,0.33022388059701546,0.0,0.0,15.5,0.0,0.0,0.02125,0.1,2002.0,12.0,50.0,14.0,17.5,0.0,0.0,0.0,1.0,3,11,19,4,4,2.0
2002-12-15,Smoke,0.34146341463414637,0.0,0.0,0.5755208333333334,0.3208955223880601,0.0,0.0,16.0,0.0,0.0,0.016666666666666666,0.03783783783783784,2002.0,12.0,50.0,15.0,17.5,0.0,0.0,0.0,1.0,4,12,18,3,2,3.0
2002-12-16,Smoke,0.4024390243902439,0.0,0.0,0.6432291666666666,0.31343283582089576,0.0,0.0,17.0,0.0,0.0,0.013333333333333334,0.0,2002.0,12.0,51.0,16.0,17.5,0.0,0.0,0.0,1.0,6,13,17,2,1,3.0
2002-12-17,Smoke,0.426829268292683,0.0,0.0,0.6796875,0.2910447761194037,0.0,0.0,17.25,0.0,0.0,0.010833333333333334,0.0,2002.0,12.0,51.0,17.0,17.5,0.0,0.0,0.0,1.0,7,14,15,1,1,3.0
2002-12-18,Smoke,0.39634146341463417,0.0,0.0,0.5703124999999999,0.2761194029850751,0.0,0.0,18.5,0.0,0.0,0.015416666666666667,0.06283783783783783,2002.0,12.0,51.0,18.0,17.5,0.0,0.0,0.0,1.0,6,12,13,3,3,3.0
2002-12-19,Smoke,0.44512195121951226,0.0,0.0,0.6927083333333333,0.2761194029850751,0.0,0.0,17.75,0.0,0.0,0.009166666666666665,0.07567567567567568,2002.0,12.0,51.0,19.0,17.5,0.0,0.0,0.0,1.0,8,15,13,1,3,3.0
2002-12-20,Shallow Fog,0.41463414634146345,1.0,0.0,0.7604166666666666,0.2835820895522394,0.0,0.0,15.0,0.0,0.0,0.008333333333333333,0.0,2002.0,12.0,51.0,20.0,19.0,0.0,0.0,0.0,1.0,7,16,14,1,1,2.0
2002-12-21,Smoke,0.36585365853658536,0.0,0.0,0.6822916666666666,0.28917910447761264,0.0,0.0,14.5,0.0,0.0,0.025833333333333333,0.08783783783783783,2002.0,12.0,51.0,21.0,17.5,0.0,0.0,0.0,1.0,5,14,15,6,4,2.0
2002-12-22,Smoke,0.39634146341463417,0.0,0.0,0.6536458333333334,0.30597014925373145,0.0,0.0,16.5,0.0,0.0,0.013333333333333334,0.11283783783783785,2002.0,12.0,51.0,22.0,17.5,0.0,0.0,0.0,1.0,6,14,16,2,4,3.0
2002-12-23,Shallow Fog,0.41463414634146345,1.0,0.0,0.7604166666666666,0.2910447761194037,0.0,0.0,15.0,0.0,0.0,0.015,0.35135135135135137,2002.0,12.0,52.0,23.0,19.0,0.0,0.0,0.0,1.0,7,16,15,3,13,2.0
2002-12-24,Shallow Fog,0.4207317073170732,1.0,0.0,0.875,0.29291044776119457,0.0,0.0,13.25,0.0,0.0,0.010833333333333334,0.05,2002.0,12.0,52.0,24.0,17.5,0.0,0.0,0.0,1.0,7,19,15,1,2,2.0
2002-12-25,Fog,0.43292682926829273,1.0,0.0,0.890625,0.31343283582089576,0.0,0.0,13.5,0.0,0.0,0.0028787878787878787,0.05033783783783784,2002.0,12.0,52.0,25.0,17.5,0.0,0.0,0.0,1.0,7,19,17,0,2,2.0
2002-12-26,Fog,0.4573170731707317,1.0,0.0,0.9375,0.3208955223880601,0.0,0.0,13.75,0.0,0.0,0.005,0.2628378378378378,2002.0,12.0,52.0,26.0,17.5,0.0,0.0,0.0,1.0,8,19,18,0,10,2.0
2002-12-27,Shallow Fog,0.35365853658536583,1.0,0.0,0.8385416666666667,0.3097014925373136,0.0,0.0,11.0,0.0,0.0,0.008333333333333333,0.17567567567567569,2002.0,12.0,52.0,27.0,18.5,0.0,0.0,0.0,1.0,5,18,17,1,7,1.0
2002-12-28,Clear,0.3333333333333333,0.0,0.0,0.7951388888888888,0.3084577114427862,0.0,0.0,11.0,0.0,0.0,0.02,0.0,2002.0,12.0,52.0,28.0,18.0,0.0,0.0,0.0,1.0,4,17,17,4,1,1.0
2002-12-29,Haze,0.3292682926829269,0.0,0.0,0.59375,0.3208955223880601,0.0,0.0,15.0,0.0,0.0,0.035,0.1,2002.0,12.0,52.0,29.0,16.5,0.0,0.0,0.0,1.0,4,12,18,9,4,2.0
2002-12-30,Scattered Clouds,0.3739837398373984,0.0,0.0,0.8333333333333334,0.29850746268656714,0.0,0.0,12.0,0.0,0.0,0.016666666666666666,0.26756756756756755,2002.0,12.0,1.0,30.0,18.0,0.0,0.0,0.0,1.0,5,18,16,3,10,1.0
2002-12-31,Shallow Fog,0.3658536585365854,1.0,0.0,0.9375,0.310945273631841,0.0,0.0,10.0,0.0,0.0,0.013888888888888888,0.2513513513513514,2002.0,12.0,1.0,31.0,17.666666666666668,0.0,0.0,0.0,1.0,5,19,17,2,9,1.0
2003-01-01,Fog,0.3841463414634147,1.0,0.0,0.9661458333333334,0.3376865671641798,0.0,0.0,10.25,0.0,0.0,0.005833333333333334,0.0,2003.0,1.0,1.0,1.0,17.5,0.0,0.0,0.0,1.0,6,19,19,0,1,1.0
2003-01-02,Fog,0.38414634146341464,1.0,0.0,0.953125,0.35634328358208966,0.0,0.0,10.5,0.0,0.0,0.003125,0.20067567567567568,2003.0,1.0,1.0,2.0,17.5,0.0,0.0,0.0,1.0,6,19,19,0,7,1.0
