,mse_train,mse_test,acc_train,acc_test
autumn_all,0.09636905044317245,0.27341705560684204,0.9044880952380953,0.7367870225013082
autumn_night,0.29654255509376526,0.3457556962966919,0.7152355623100304,0.6666666666666666
autumn_morning,0.4064171016216278,0.4865424335002899,0.6250954927425516,0.5797101449275363
autumn_noon,0.31653034687042236,0.5051760077476501,0.6926003424006087,0.5693581780538303
autumn_evening,0.2164791077375412,0.2467532455921173,0.785809650963189,0.7597402597402597
winter_all,0.05499005317687988,0.46412262320518494,0.9452731952731953,0.690150032615786
winter_night,0.13422036170959473,0.31168830394744873,0.8664799253034547,0.6883116883116883
winter_morning,0.3731587529182434,0.5090909004211426,0.6612111292962357,0.5376623376623376
winter_noon,0.311007022857666,0.28311687707901,0.6995316159250585,0.7324675324675325
winter_evening,0.16467276215553284,0.28042328357696533,0.8367346938775511,0.791005291005291
spring_all,0.11351102590560913,0.2386675775051117,0.8908055409663865,0.7618475274725275
spring_night,0.3425443172454834,0.2390109896659851,0.6730969760166841,0.760989010989011
spring_morning,0.7237221598625183,0.4972527325153351,0.4917431192660551,0.5686813186813187
spring_noon,0.5377532243728638,0.5714285969734192,0.5611681136543015,0.5164835164835165
spring_evening,0.3433862328529358,0.3598901033401489,0.6933862433862434,0.6565934065934066
monsoon_all,0.13276712596416473,0.1809435933828354,0.8673054587688734,0.8238007380073801
monsoon_night,0.2598804831504822,0.3510203957557678,0.7493734335839599,0.6612244897959184
monsoon_morning,0.32688960433006287,0.29192546010017395,0.707326502996327,0.7204968944099379
monsoon_noon,0.2596876919269562,0.24891774356365204,0.7536148062463852,0.7640692640692641
monsoon_evening,0.2655853033065796,0.2380952388048172,0.746140316591753,0.7748917748917749
summer_all,0.1557069569826126,0.28213199973106384,0.8477534388340304,0.7269865392965696
summer_night,0.520776093006134,0.634353756904602,0.570054945054945,0.4557823129251701
summer_morning,0.4475500285625458,0.30636832118034363,0.5876466528640442,0.6987951807228916
summer_noon,0.45631569623947144,0.5226480960845947,0.5993451662932966,0.6027874564459931
summer_evening,0.43082523345947266,0.39821428060531616,0.6083564493758669,0.6392857142857142
full_all,0.033940691500902176,0.26952651143074036,0.9668376460980963,0.7453460137596115
full_night,0.2043430507183075,0.24142059683799744,0.7993168232280102,0.762170790103751
full_morning,0.28497937321662903,0.31420546770095825,0.7284938553872535,0.6990369181380417
full_noon,0.20110957324504852,0.2467532455921173,0.8014603899812353,0.760551948051948
full_evening,0.09459514915943146,0.1333608627319336,0.9055279681536504,0.8666391412056152
