datetime, _conds, _dewptm, _fog, _hail, _hum, _pressurem, _rain, _snow, _tempm, _thunder, _tornado, _vism, _wspdm,year,month,week,day,hour,night,morning,noon,evening,season_winter,season_spring,season_summer,season_monsoon,season_autumn,hour_cos,hour_sin,month_cos,month_sin,week_cos,week_sin, _dewptm_bars, _hum_bars, _pressurem_bars, _vism_bars, _wspdm_bars,Temp
2002-11-28,Smoke,0.19512195121951223,0.0,0.0,0.17708333333333331,0.3223880597014929,0.0,0.0,26.0,0.0,0.0,0.052000000000000005,0.2102702702702703,2002.0,11.0,48.0,28.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.37928932188134523,0.9504983837549122,0.9330127018922191,0.24999999999999978,0.9146278745490299,0.22055389457090963,0,2,18,14,8,6.0
2002-11-28,Smoke,0.21951219512195122,0.0,0.0,0.2881944444444444,0.310945273631841,0.0,0.0,21.333333333333332,0.0,0.0,0.042361111111111106,0.125,2002.0,11.0,48.0,28.0,12.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0524158965555365,0.4410744349011211,0.9330127018922191,0.24999999999999978,0.9146278745490299,0.2205538945709096,0,5,17,11,5,4.0
2002-11-28,Smoke,0.2804878048780488,0.0,0.0,0.5286458333333333,0.319029850746269,0.0,0.0,14.75,0.0,0.0,0.01625,0.0,2002.0,11.0,48.0,28.0,17.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.43749999999999983,0.02526536795467811,0.9330127018922192,0.24999999999999978,0.9146278745490299,0.22055389457090963,2,11,18,3,1,2.0
2002-11-29,Smoke,0.2601626016260163,0.0,0.0,0.5914351851851852,0.3184079601990053,0.0,0.0,12.222222222222221,0.0,0.0,0.021296296296296296,0.07807807807807808,2002.0,11.0,48.0,29.0,10.666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8932286679177839,0.4999999999999999,0.933012701892219,0.2499999999999998,0.9146278745490299,0.2205538945709096,1,12,18,4,3,1.0
2002-11-29,Smoke,0.2780487804878049,0.0,0.0,0.2791666666666666,0.31791044776119437,0.0,0.0,24.0,0.0,0.0,0.039999999999999994,0.45999999999999996,2002.0,11.0,48.0,29.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.37928932188134523,0.9504983837549122,0.9330127018922191,0.24999999999999978,0.9146278745490299,0.22055389457090963,2,5,18,10,16,5.0
2002-11-29,Haze,0.24390243902439027,0.0,0.0,0.22916666666666663,0.29850746268656714,0.0,0.0,25.0,0.0,0.0,0.04166666666666667,0.3756756756756757,2002.0,11.0,48.0,29.0,10.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04201219248162327,0.6897047612756302,0.9330127018922192,0.24999999999999978,0.9146278745490299,0.22055389457090963,1,4,16,11,14,6.0
2002-11-29,Smoke,0.28658536585365857,0.0,0.0,0.5598958333333334,0.3115671641791047,0.0,0.0,14.0,0.0,0.0,0.024166666666666666,0.0,2002.0,11.0,48.0,29.0,17.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.43749999999999983,0.02526536795467811,0.9330127018922192,0.24999999999999978,0.9146278745490299,0.22055389457090963,2,11,17,5,1,2.0
2002-11-30,Smoke,0.2818428184281843,0.0,0.0,0.6192129629629629,0.306799336650083,0.0,0.0,12.555555555555555,0.0,0.0,0.017037037037037035,0.07237237237237237,2002.0,11.0,48.0,30.0,10.666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8932286679177839,0.4999999999999999,0.933012701892219,0.2499999999999998,0.9146278745490299,0.2205538945709096,2,13,17,3,3,1.0
2002-11-30,Smoke,0.2780487804878049,0.0,0.0,0.28125,0.3000000000000004,0.0,0.0,23.6,0.0,0.0,0.045000000000000005,0.3610810810810811,2002.0,11.0,48.0,30.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.37928932188134523,0.9504983837549122,0.9330127018922191,0.24999999999999978,0.9146278745490299,0.22055389457090963,2,5,16,12,13,5.0
2002-11-30,Smoke,0.30487804878048785,0.0,0.0,0.4149305555555555,0.2935323383084582,0.0,0.0,19.666666666666668,0.0,0.0,0.034444444444444444,0.07522522522522522,2002.0,11.0,48.0,30.0,12.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0524158965555365,0.4410744349011211,0.9330127018922191,0.24999999999999978,0.9146278745490299,0.2205538945709096,3,8,15,8,3,4.0
2002-11-30,Smoke,0.3109756097560976,0.0,0.0,0.5416666666666666,0.30597014925373145,0.0,0.0,15.5,0.0,0.0,0.01875,0.0,2002.0,11.0,48.0,30.0,17.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.43749999999999983,0.02526536795467811,0.9330127018922192,0.24999999999999978,0.9146278745490299,0.22055389457090963,3,11,16,4,1,2.0
2003-09-16,Haze,0.7357723577235773,0.0,0.0,0.8506944444444445,0.2313432835820901,0.0,0.0,26.833333333333332,0.0,0.0,0.042777777777777776,0.08378378378378377,2003.0,9.0,38.0,16.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8455220308284975,0.15447796917150222,0.49999999999999994,0.0,0.3964807197586971,0.010506786301598792,18,18,8,11,3,6.0
