,datetime, _conds, _dewptm, _fog, _hail, _hum, _pressurem, _rain, _snow, _tempm, _thunder, _tornado, _vism, _wspdm,year,month,week,day,hour,night,morning,noon,evening,season_winter,season_spring,season_summer,season_monsoon,season_autumn,hour_cos,hour_sin,month_cos,month_sin,week_cos,week_sin, _dewptm_bars, _hum_bars, _pressurem_bars, _vism_bars, _wspdm_bars,Temp
5580,2004-03-11,Smoke,0.529616724738676,0.0,0.0,0.6785714285714286,0.2819829424307042,0.0,0.0,21.642857142857142,0.0,0.0,0.02142857142857143,0.08976833976833978,2004.0,3.0,11.0,11.0,12.785714285714286,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9136821378596153,0.39503008611587764,0.5,1.0,0.6314699642366818,0.9825297003820096,11,14,14,4,4,4.0
5584,2004-03-12,Haze,0.5487804878048781,0.0,0.0,0.6901041666666667,0.2835820895522394,0.0,0.0,22.25,0.0,0.0,0.034583333333333334,0.1,2004.0,3.0,11.0,12.0,20.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.801776695296637,0.10671695375725343,0.5,1.0,0.6314699642366817,0.9825297003820094,12,15,14,8,4,5.0
5588,2004-03-13,Clear,0.5528455284552846,0.0,0.0,0.8229166666666666,0.2835820895522394,0.0,0.0,19.666666666666668,0.0,0.0,0.017222222222222222,0.050450450450450456,2004.0,3.0,11.0,13.0,22.666666666666668,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9663128427270958,0.33039365163249274,0.5,1.0,0.6314699642366817,0.9825297003820094,12,18,14,3,2,4.0
5592,2004-03-14,Clear,0.526829268292683,0.0,0.0,0.78125,0.2880597014925378,0.0,0.0,19.4,0.0,0.0,0.026000000000000002,0.1210810810810811,2004.0,3.0,11.0,14.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9897777478867203,0.525881904510252,0.5,1.0,0.6314699642366817,0.9825297003820094,11,17,14,6,5,4.0
5596,2004-03-15,Clear,0.5325203252032521,0.0,0.0,0.7638888888888888,0.2761194029850751,0.0,0.0,20.0,0.0,0.0,0.023333333333333334,0.15090090090090091,2004.0,3.0,12.0,15.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9414897546968812,0.5126343905350502,0.5,1.0,0.5734487127629095,0.9947373642491953,11,16,13,5,6,4.0
5600,2004-03-16,Clear,0.5609756097560976,0.0,0.0,0.8229166666666666,0.24626865671641873,0.0,0.0,20.0,0.0,0.0,0.025,0.15135135135135136,2004.0,3.0,12.0,16.0,23.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9829629131445341,0.3705904774487392,0.5,1.0,0.5734487127629095,0.9947373642491955,12,18,10,6,6,4.0
5604,2004-03-17,Clear,0.5609756097560976,0.0,0.0,0.875,0.24626865671641873,0.0,0.0,19.0,0.0,0.0,0.025,0.20135135135135138,2004.0,3.0,12.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,0.5,1.0,0.5734487127629095,0.9947373642491955,12,19,10,6,7,4.0
5608,2004-03-18,Haze,0.5548780487804879,0.0,0.0,0.6380208333333334,0.2574626865671644,0.0,0.0,24.0,0.0,0.0,0.032499999999999994,0.18175675675675673,2004.0,3.0,12.0,18.0,19.125,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8507618872644399,0.27880887429624646,0.5,1.0,0.5734487127629095,0.9947373642491952,12,13,11,8,7,5.0
5612,2004-03-19,Clear,0.5528455284552846,0.0,0.0,0.7083333333333334,0.266169154228856,0.0,0.0,22.0,0.0,0.0,0.02666666666666666,0.2504504504504505,2004.0,3.0,12.0,19.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9231763352100092,0.744320971048178,0.5,1.0,0.5734487127629095,0.9947373642491955,12,15,12,6,9,5.0
5616,2004-03-20,Haze,0.45993031358885034,0.0,0.0,0.5230654761904762,0.2297441364605549,0.0,0.0,22.857142857142858,0.0,0.0,0.03946428571428572,0.23262548262548272,2004.0,3.0,12.0,20.0,13.285714285714286,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8830135854450744,0.45058344664323274,0.5,1.0,0.5734487127629093,0.9947373642491951,8,11,8,10,9,5.0
