,datetime, _conds, _dewptm, _fog, _hail, _hum, _pressurem, _rain, _snow, _tempm, _thunder, _tornado, _vism, _wspdm,year,month,week,day,hour,night,morning,noon,evening,season_winter,season_spring,season_summer,season_monsoon,season_autumn,hour_cos,hour_sin,month_cos,month_sin,week_cos,week_sin, _dewptm_bars, _hum_bars, _pressurem_bars, _vism_bars, _wspdm_bars,Temp
4915,2003-09-26,Smoke,0.7127371273712737,0.0,0.0,0.6412037037037037,0.27280265339966875,0.0,0.0,30.333333333333332,0.0,0.0,0.05203703703703704,0.17297297297297298,2003.0,9.0,39.0,26.0,6.888888888888889,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.39365480209038356,0.9524412372952116,0.4999999999999999,0.0,0.455123577762159,0.001756268235678593,17,13,13,14,7,7.0
4919,2003-09-27,Haze,0.6341463414634148,0.0,0.0,0.44531249999999994,0.25093283582089587,0.0,0.0,32.875,0.0,0.0,0.05479166666666666,0.2131756756756757,2003.0,9.0,39.0,27.0,7.125,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.364185462032774,0.9486260278140461,0.49999999999999994,0.0,0.455123577762159,0.001756268235678593,15,9,10,14,8,8.0
4923,2003-09-28,Haze,0.6341463414634146,0.0,0.0,0.4317129629629629,0.23963515754560583,0.0,0.0,33.333333333333336,0.0,0.0,0.05092592592592594,0.16186186186186186,2003.0,9.0,39.0,28.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.38025586015163476,0.9468912138227322,0.4999999999999999,0.0,0.455123577762159,0.001756268235678593,15,8,9,13,6,8.0
4927,2003-09-29,Clear,0.6219512195121952,0.0,0.0,0.43749999999999994,0.25373134328358216,0.0,0.0,32.5,0.0,0.0,0.1,0.15000000000000002,2003.0,9.0,40.0,29.0,6.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4352952387243698,0.991481456572267,0.4999999999999999,0.0,0.5143902334072787,0.0,14,8,11,19,6,8.0
4931,2003-09-30,Clear,0.48780487804878053,0.0,0.0,0.24999999999999997,0.25,0.0,0.0,35.0,0.0,0.0,0.1,0.35135135135135137,2003.0,9.0,40.0,30.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2500000000000001,0.9330127018922194,0.4999999999999999,0.0,0.5143902334072787,0.0,9,4,10,19,13,9.0
4935,2003-10-01,Haze,0.39329268292682923,0.0,0.0,0.19921875,0.25839552238805996,0.0,0.0,34.25,0.0,0.0,0.06666666666666667,0.3070945945945946,2003.0,10.0,40.0,1.0,7.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3167592717138664,0.9423822514075069,0.75,0.0669872981077807,0.5143902334072789,0.0,6,3,11,18,11,9.0
4939,2003-10-02,Haze,0.47317073170731716,0.0,0.0,0.28854166666666664,0.2656716417910451,0.0,0.0,32.3,0.0,0.0,0.06666666666666667,0.46054054054054056,2003.0,10.0,40.0,2.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.37928932188134523,0.9504983837549122,0.75,0.0669872981077807,0.5143902334072789,0.0,9,5,12,18,16,8.0
4943,2003-10-03,Haze,0.5292682926829269,0.0,0.0,0.34375,0.2783582089552244,0.0,0.0,32.2,0.0,0.0,0.06749999999999998,0.3559459459459459,2003.0,10.0,40.0,3.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.37928932188134523,0.9504983837549122,0.75,0.0669872981077807,0.5143902334072789,0.0,11,6,13,18,13,8.0
4947,2003-10-04,Haze,0.4298780487804878,0.0,0.0,0.2265625,0.27518656716417955,0.0,0.0,33.75,0.0,0.0,0.06458333333333334,0.25101351351351353,2003.0,10.0,40.0,4.0,7.125,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.364185462032774,0.9486260278140461,0.75,0.0669872981077807,0.5143902334072789,0.0,7,3,13,17,9,8.0
4951,2003-10-05,Haze,0.48432055749128916,0.0,0.0,0.2738095238095238,0.27078891257995774,0.0,0.0,33.714285714285715,0.0,0.0,0.07142857142857142,0.16525096525096528,2003.0,10.0,40.0,5.0,7.428571428571429,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.326296310530133,0.9437207584811194,0.75,0.0669872981077807,0.5143902334072789,0.0,9,5,13,19,6,8.0
