datetime, _conds, _dewptm, _fog, _hail, _hum, _pressurem, _rain, _snow, _tempm, _thunder, _tornado, _vism, _wspdm,year,month,week,day,hour,night,morning,noon,evening,hour_cos,hour_sin,month_cos,month_sin,week_cos,week_sin, _dewptm_bars, _hum_bars, _pressurem_bars, _vism_bars, _wspdm_bars,Temp
2000-01-15,Clear,0.24390243902439027,0.0,0.0,0.4270833333333333,0.29850746268656714,0.0,0.0,16.0,0.0,0.0,0.1,0.3,2000.0,1.0,2.0,15.0,10.0,0.0,0.0,1.0,0.0,0.06698729810778065,0.75,0.9330127018922194,0.75,0.9859991624270543,0.6174946222389921,1,8,16,19,11,3.0
2000-01-16,Clear,0.2682926829268293,0.0,0.0,0.4739583333333333,0.3358208955223887,0.0,0.0,15.5,0.0,0.0,0.1,0.42567567567567566,2000.0,1.0,2.0,16.0,10.5,0.0,0.0,1.0,0.0,0.04201219248162327,0.6897047612756302,0.9330127018922194,0.75,0.9859991624270543,0.6174946222389921,2,9,19,19,15,2.0
2000-01-17,Clear,0.24390243902439027,0.0,0.0,0.37499999999999994,0.3283582089552244,0.0,0.0,18.0,0.0,0.0,0.1,0.4,2000.0,1.0,3.0,17.0,10.0,0.0,0.0,1.0,0.0,0.06698729810778065,0.75,0.9330127018922194,0.75,0.9686823294520611,0.6741773100327622,1,7,19,19,14,3.0
2000-01-18,Haze,0.25609756097560976,0.0,0.0,0.34374999999999994,0.3208955223880601,0.0,0.0,19.5,0.0,0.0,0.08333333333333333,0.3256756756756757,2000.0,1.0,3.0,18.0,10.5,0.0,0.0,1.0,0.0,0.04201219248162327,0.6897047612756302,0.9330127018922194,0.75,0.9686823294520611,0.6741773100327622,1,6,18,19,12,4.0
2000-01-19,Clear,0.21951219512195125,0.0,0.0,0.28124999999999994,0.2910447761194037,0.0,0.0,21.0,0.0,0.0,0.1,0.5513513513513514,2000.0,1.0,3.0,19.0,10.0,0.0,0.0,1.0,0.0,0.06698729810778065,0.75,0.9330127018922194,0.75,0.9686823294520611,0.6741773100327622,0,5,15,19,19,4.0
2000-01-20,Smoke,0.2829268292682927,0.0,0.0,0.3895833333333333,0.26417910447761217,0.0,0.0,19.4,0.0,0.0,0.06,0.29081081081081084,2000.0,1.0,3.0,20.0,12.0,0.0,0.0,1.0,0.0,0.0336097539852986,0.5,0.9330127018922194,0.75,0.9686823294520611,0.6741773100327622,2,7,12,16,11,4.0
2000-01-21,Haze,0.32317073170731714,0.0,0.0,0.46093749999999994,0.28731343283582156,0.0,0.0,18.5,0.0,0.0,0.06416666666666666,0.3128378378378379,2000.0,1.0,3.0,21.0,12.5,0.0,0.0,1.0,0.0,0.025265367954678083,0.4375000000000001,0.9330127018922194,0.75,0.9686823294520611,0.6741773100327622,4,9,14,17,11,3.0
2000-01-22,Haze,0.3902439024390244,0.0,0.0,0.59375,0.28731343283582156,0.0,0.0,17.5,0.0,0.0,0.04416666666666666,0.35,2000.0,1.0,3.0,22.0,10.5,0.0,0.0,1.0,0.0,0.04201219248162327,0.6897047612756302,0.9330127018922194,0.75,0.9686823294520611,0.6741773100327622,6,12,14,11,13,3.0
2000-01-23,Smoke,0.40243902439024387,0.0,0.0,0.611111111111111,0.30721393034825883,0.0,0.0,18.166666666666668,0.0,0.0,0.04069444444444444,0.10900900900900902,2000.0,1.0,3.0,23.0,12.5,0.0,0.0,1.0,0.0,0.0524158965555365,0.4410744349011211,0.9330127018922195,0.75,0.9686823294520611,0.6741773100327623,6,13,17,10,4,3.0
2000-01-24,Clear,0.36585365853658536,0.0,0.0,0.42187499999999994,0.31343283582089576,0.0,0.0,21.5,0.0,0.0,0.1,0.35,2000.0,1.0,4.0,24.0,10.5,0.0,0.0,1.0,0.0,0.04201219248162327,0.6897047612756302,0.9330127018922194,0.75,0.9447800549796661,0.7284149301950444,5,8,17,19,13,4.0
2000-01-25,Mostly Cloudy,0.4390243902439025,0.0,0.0,0.875,0.3208955223880601,0.0,0.0,14.0,0.0,0.0,0.041666666666666664,0.5,2000.0,1.0,4.0,25.0,14.0,0.0,0.0,1.0,0.0,0.06698729810778059,0.2500000000000001,0.9330127018922194,0.75,0.9447800549796661,0.7284149301950444,8,19,18,11,18,2.0
2000-01-26,Mostly Cloudy,0.48780487804878053,0.0,0.0,0.875,0.3358208955223887,0.0,0.0,16.0,0.0,0.0,0.05,0.0,2000.0,1.0,4.0,26.0,14.0,0.0,0.0,1.0,0.0,0.06698729810778059,0.2500000000000001,0.9330127018922194,0.75,0.9447800549796661,0.7284149301950444,9,19,19,13,1,3.0
2000-01-27,Clear,0.4390243902439025,0.0,0.0,0.875,0.3358208955223887,0.0,0.0,14.0,0.0,0.0,0.03,0.3,2000.0,1.0,4.0,27.0,15.0,0.0,0.0,1.0,0.0,0.14644660940672605,0.14644660940672644,0.9330127018922194,0.75,0.9447800549796661,0.7284149301950444,8,19,19,7,11,2.0
