datetime, _dewptm, _fog, _hail, _hum, _pressurem, _rain, _snow, _tempm, _thunder, _tornado, _vism, _wspdm,year,month,week,day,hour,night,morning,noon,evening,Temp
2000-01-01,0.3685636856368564,1.0,0.0,0.9641203703703702,0.3258706467661696,0.0,0.0,9.666666666666666,0.0,0.0,0.00524485596707819,0.0,2000.0,1.0,52.0,1.0,10.666666666666666,1.0,0.0,0.0,0.0,0.0
2000-01-02,0.3685636856368563,1.0,0.0,0.8414351851851851,0.32338308457711484,0.0,0.0,11.666666666666666,0.0,0.0,0.006069958847736625,0.07237237237237237,2000.0,1.0,52.0,2.0,10.666666666666666,1.0,0.0,0.0,0.0,1.0
2000-01-03,0.32791327913279145,1.0,0.0,0.8935185185185186,0.3167495854063021,0.0,0.0,9.11111111111111,0.0,0.0,0.0059764309764309765,0.0891891891891892,2000.0,1.0,1.0,3.0,10.666666666666666,1.0,0.0,0.0,0.0,0.0
2000-01-04,0.3414634146341463,1.0,0.0,0.9236111111111112,0.31592039800995053,0.0,0.0,9.222222222222221,0.0,0.0,0.0031818181818181824,0.050450450450450456,2000.0,1.0,1.0,4.0,10.666666666666666,1.0,0.0,0.0,0.0,0.0
2000-01-05,0.32012195121951226,1.0,0.0,0.9557291666666666,0.3218283582089556,0.0,0.0,7.75,0.0,0.0,0.006363636363636363,0.08783783783783784,2000.0,1.0,1.0,5.0,9.125,1.0,0.0,0.0,0.0,0.0
2000-01-06,0.30792682926829273,1.0,0.0,0.9049479166666666,0.3143656716417913,0.0,0.0,8.125,0.0,0.0,0.0074242424242424235,0.18158783783783783,2000.0,1.0,1.0,6.0,11.375,1.0,0.0,0.0,0.0,0.0
2000-01-07,0.3170731707317074,1.0,0.0,0.9999999999999999,0.306902985074627,0.0,0.0,7.0,0.0,0.0,0.0043749999999999995,0.03783783783783784,2000.0,1.0,1.0,7.0,11.625,1.0,0.0,0.0,0.0,0.0
2000-01-08,0.3902439024390244,1.0,0.0,0.9625,0.2895522388059707,0.0,0.0,10.6,0.0,0.0,0.007666666666666666,0.2210810810810811,2000.0,1.0,1.0,8.0,18.0,1.0,0.0,0.0,0.0,1.0
2000-01-09,0.40853658536585363,0.875,0.0,0.953125,0.2835820895522393,0.0,0.0,11.5,0.0,0.0,0.012916666666666668,0.2381756756756757,2000.0,1.0,1.0,9.0,11.625,1.0,0.0,0.0,0.0,1.0
2000-01-10,0.40243902439024387,0.625,0.0,0.90625,0.29384328358209,0.0,0.0,12.0,0.0,0.0,0.014791666666666667,0.09391891891891893,2000.0,1.0,2.0,10.0,11.875,1.0,0.0,0.0,0.0,1.0
2000-01-11,0.42439024390243907,0.3,0.0,0.8895833333333334,0.2888059701492541,0.2,0.0,13.2,0.0,0.0,0.021666666666666664,0.23054054054054052,2000.0,1.0,2.0,11.0,11.9,1.0,0.0,0.0,0.0,2.0
2000-01-12,0.475609756097561,0.0,0.0,0.921875,0.2835820895522394,0.5,0.0,14.75,0.0,0.0,0.0375,0.3128378378378378,2000.0,1.0,2.0,12.0,21.5,1.0,0.0,0.0,0.0,2.0
2000-01-13,0.45799457994579945,0.7777777777777778,0.0,0.9930555555555556,0.2844112769485908,0.0,0.0,12.88888888888889,0.0,0.0,0.01583333333333333,0.11126126126126128,2000.0,1.0,2.0,13.0,10.666666666666666,1.0,0.0,0.0,0.0,1.0
2000-01-14,0.33101045296167253,0.14285714285714285,0.0,0.8556547619047618,0.29637526652452045,0.0,0.0,9.857142857142858,0.0,0.0,0.027916666666666666,0.12181467181467183,2000.0,1.0,2.0,14.0,13.142857142857142,1.0,0.0,0.0,0.0,0.0
2000-01-15,0.2987804878048781,0.125,0.0,0.8684895833333334,0.31809701492537357,0.0,0.0,8.25,0.0,0.0,0.029166666666666664,0.1567567567567568,2000.0,1.0,2.0,15.0,9.25,1.0,0.0,0.0,0.0,0.0
2000-01-16,0.2710027100271003,0.2222222222222222,0.0,0.909722222222222,0.34162520729684964,0.0,0.0,6.444444444444445,0.0,0.0,0.026296296296296293,0.1783783783783784,2000.0,1.0,2.0,16.0,10.666666666666666,1.0,0.0,0.0,0.0,0.0
2000-01-17,0.2682926829268293,0.125,0.0,0.8294270833333333,0.3386194029850751,0.0,0.0,7.625,0.0,0.0,0.03395833333333333,0.2317567567567568,2000.0,1.0,3.0,17.0,11.75,1.0,0.0,0.0,0.0,0.0
2000-01-18,0.27642276422764234,0.0,0.0,0.7511574074074074,0.3242122719734664,0.0,0.0,9.444444444444445,0.0,0.0,0.039444444444444435,0.27297297297297296,2000.0,1.0,3.0,18.0,10.666666666666666,1.0,0.0,0.0,0.0,0.0
2000-01-19,0.29810298102981025,0.0,0.0,0.7824074074074072,0.2985074626865675,0.0,0.0,9.777777777777779,0.0,0.0,0.03462962962962963,0.2558558558558559,2000.0,1.0,3.0,19.0,10.666666666666666,1.0,0.0,0.0,0.0,0.0
2000-01-20,0.31402439024390244,0.0,0.0,0.7356770833333334,0.274253731343284,0.0,0.0,11.375,0.0,0.0,0.030625000000000003,0.15033783783783786,2000.0,1.0,3.0,20.0,9.125,1.0,0.0,0.0,0.0,1.0
